Time,Day,Month,Year,B1,BG1,BG2,BN8,CGP2,CGW1,CGW2,H1,L1,L2,P1,P2,P3,S1,S2,S3,SE,W1,W2,W3
2003-05-09,9,5,2003,"2,580","2,233","2,272","1,145","2,227","2,540","3,103","1,950",602,548,"2,382","2,121","2,100","5,033","4,169","3,364","3,097","3,101","1,592","2,574"
2003-05-25,25,5,2003,"2,140","1,625","2,311","2,054","1,937","2,451","3,549","2,030","3,218",593,"2,136","1,848","1,622","5,966","4,264","4,037","3,219","2,466","2,002","2,737"
2003-06-10,10,6,2003,"1,693","1,459","1,555","1,385","1,741","2,527","3,373","1,478","2,952",828,"1,867","1,823","1,720","5,601","3,202","3,777","3,272","3,211","1,660","2,247"
2003-06-26,26,6,2003,"1,385","1,305","1,253","1,000","1,562","1,948","2,776","1,364","2,665","1,114","1,605","1,647","1,622","5,229","3,643","3,788","2,779","2,856","1,602","2,107"
2003-07-12,12,7,2003,"1,384","1,135","1,254",978,"1,385","2,474","2,034","1,256","2,064","1,191","1,444","1,556","1,588","4,637","3,678","3,191","3,006","2,929","1,557","1,885"
2003-07-28,28,7,2003,"1,136",978,"1,032",758,618,"2,022","2,734",459,"1,902",486,650,562,973,"2,765","2,762","1,326","1,833","2,496","1,043","2,664"
2003-08-13,13,8,2003,"1,261","1,142","1,209",960,"1,343","1,935","2,211","1,205","1,652","1,096","1,401","1,528","1,483","3,113","2,957","2,923","2,656","2,199","1,529","1,799"
2003-08-29,29,8,2003,"1,226","1,124","1,191",940,"1,221","2,613","2,119","1,089","1,411",957,"1,236","1,269","1,259","2,757","2,141","2,619","2,693","2,179","1,228","1,527"
2003-09-14,14,9,2003,"1,253",974,"1,135",757,"1,233","1,854","1,592","1,028","1,306",915,"1,224","1,289","1,188","2,983","2,147","2,004","2,663","2,046","1,260","1,488"
2003-09-30,30,9,2003,"1,125",975,"1,078",882,"1,261","1,669","1,897","1,039","1,216",930,"1,289","1,258","1,217","2,632","2,634","3,398","2,338","2,285","1,279","1,481"
2003-10-16,16,10,2003,"1,132",952,"1,099",742,"1,145","1,615","1,935",988,"1,101",828,"1,144","1,250","1,242","2,828","2,195","1,714","2,116","2,133","1,203","1,518"
2003-11-01,1,11,2003,"1,267",991,"1,541",831,"1,145","2,257","1,737","1,046","1,164",931,"1,301","1,361","1,407","3,188","3,436","2,272","3,031","2,172","1,250","1,692"
2003-11-17,17,11,2003,345,"1,059","1,511",879,"1,734","1,622","2,040",301,"1,075",560,837,"1,762","1,567","4,588","3,159","2,573","2,867","2,287","1,968","1,887"
2003-12-03,3,12,2003,"1,421","1,147","1,077",775,"1,505","1,510","1,915",940,"1,427",423,"1,405","1,601","1,347","4,088","3,280","2,980","2,539","2,710","1,289","1,744"
2003-12-19,19,12,2003,"1,144","1,040",957,699,"1,495","1,486","1,708",848,"1,151",811,"1,371","1,386","1,322","3,079","2,782","3,742","2,319","2,432","1,186","1,513"
2004-01-01,1,1,2004,"1,261","1,244","1,527",941,"1,356","2,865","2,342","1,060","1,427",744,"1,348","1,360","1,274","3,572","3,156","3,742","2,856","2,432","1,254","1,355"
2004-01-17,17,1,2004,"1,873","1,729","1,583",802,"2,445","2,022","2,096","1,398","1,126",926,"1,664","1,716","1,671","4,029","2,930","3,070","2,014","2,634","1,316","2,378"
2004-02-02,2,2,2004,"2,468","2,374","2,738","3,232","2,240","3,126","2,205","2,597","1,322",857,"2,023","2,101","2,451","5,172","4,184","4,432","2,986","3,353","2,788","3,370"
2004-02-18,18,2,2004,"2,446","2,295","2,849","2,268","2,004","5,423","2,761","1,516","1,169",847,"1,859","1,921","2,185","4,545","4,645","3,432","3,118","3,314","2,183","2,791"
2004-03-05,5,3,2004,"1,631","1,514","1,772","1,439","1,575","2,580","2,861","1,496","1,475",869,"1,483","1,671","1,919","6,814","3,933","3,594","3,108","3,288","1,634","2,180"
2004-03-21,21,3,2004,"1,562","2,020","2,636","1,241","1,769","2,681","2,708","1,904","1,293",936,"1,356","1,791","1,923","6,845","3,264","2,789","3,996","3,270","2,068","2,033"
2004-04-06,6,4,2004,"2,679","2,385","3,234","1,942","1,286","2,089","2,250","3,480","2,096",897,"1,980","1,531","1,958","5,289","4,065","3,384","3,431","2,965","1,606","1,942"
2004-04-22,22,4,2004,"2,211","1,842","3,011","1,489","1,674","4,212","2,261","3,298","2,399",204,"1,930","1,736","1,811","5,172","4,528","3,841","2,997","3,465","2,042","2,205"
2004-05-08,8,5,2004,"1,673","1,724","2,606","1,200","1,469","4,291","1,788","1,795","3,080","1,064","1,922","1,776","1,623","5,910","5,130","2,283","3,327","3,681","1,726","1,947"
2004-05-24,24,5,2004,"1,174",997,"1,657",914,"1,309","2,606","2,689","1,630","2,112",901,"1,488","1,589","1,616","4,629","4,352","3,161","2,843","3,065","1,337","1,882"
2004-06-09,9,6,2004,"1,293","1,250","1,401",815,"1,275","1,848","2,191","1,345","1,580",887,"1,274","1,342","1,281","2,759","3,687","3,658","2,566","2,256","1,216","1,585"
2004-06-25,25,6,2004,"1,271",784,"1,315",772,"1,099","2,013","1,927","1,175","1,498",893,"1,196","1,239","1,258","2,876","3,001","3,069","2,561","2,184","1,178","1,577"
2004-07-11,11,7,2004,"1,104","1,066","1,177",807,"1,211","2,141","1,733","1,213","1,187",877,"1,200","1,203","1,262","2,813","2,709","2,538","2,152","1,962","1,287","1,579"
2004-07-27,27,7,2004,"1,050",982,"1,268",917,"1,162","1,898","1,516","1,150","1,112",866,"1,160","1,215","1,209","2,230","2,367","4,220","2,218","1,931","1,382","1,519"
2004-08-12,12,8,2004,"1,059",998,"1,125",813,"1,225","1,840","1,912","1,104","1,103",839,"1,217","1,286","1,131","2,787","2,022","2,337","2,210","1,843","1,276","1,578"
2004-08-28,28,8,2004,906,"1,046","1,221",684,"1,179","1,361","1,871","1,196","1,228",864,"1,217","1,171","1,184","2,281","2,097","1,797","2,151","1,988","1,257","1,515"
2004-09-13,13,9,2004,"1,069","1,066","1,136",862,"1,182","2,040","1,932","1,172","1,128",768,"1,182","1,143","1,109","2,341","2,191","2,280","2,114","1,905","1,193","1,550"
2004-09-29,29,9,2004,"1,024","1,025","1,092",684,"1,121","1,817","1,792","1,053","1,058",783,"1,126","1,136","1,218","2,413","1,939","1,840","2,046","1,776","1,138","1,457"
2004-10-15,15,10,2004,"1,037",920,"1,116",886,"1,152","2,199","1,693",985,"1,109",830,"1,142","1,136","1,120","2,218","1,868","1,907","2,055","2,022","1,281","1,555"
2004-10-31,31,10,2004,"1,118","1,046","1,158",830,"1,119","1,886","2,532","1,029","1,183",813,"1,118","1,150","1,045","2,367","2,129","1,844","2,111","1,833","1,422","1,682"
